"GEO_ID","NAME","B11012_001E","B11012_001M","B11012_002E","B11012_002M","B11012_003E","B11012_003M","B11012_004E","B11012_004M","B11012_005E","B11012_005M","B11012_006E","B11012_006M","B11012_007E","B11012_007M","B11012_008E","B11012_008M","B11012_009E","B11012_009M","B11012_010E","B11012_010M","B11012_011E","B11012_011M","B11012_012E","B11012_012M","B11012_013E","B11012_013M","B11012_014E","B11012_014M","B11012_015E","B11012_015M","B11012_016E","B11012_016M","B11012_017E","B11012_017M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Married-couple household:","Margin of Error!!Total:!!Married-couple household:","Estimate!!Total:!!Married-couple household:!!With children of the householder under 18 years","Margin of Error!!Total:!!Married-couple household:!!With children of the householder under 18 years","Estimate!!Total:!!Married-couple household:!!With no children of the householder under 18 years","Margin of Error!!Total:!!Married-couple household:!!With no children of the householder under 18 years","Estimate!!Total:!!Cohabiting couple household:","Margin of Error!!Total:!!Cohabiting couple household:","Estimate!!Total:!!Cohabiting couple household:!!With children of the householder under 18 years","Margin of Error!!Total:!!Cohabiting couple household:!!With children of the householder under 18 years","Estimate!!Total:!!Cohabiting couple household:!!With no children of the householder under 18 years","Margin of Error!!Total:!!Cohabiting couple household:!!With no children of the householder under 18 years","Estimate!!Total:!!Female householder, no spouse or partner present:","Margin of Error!!Total:!!Female householder, no spouse or partner present:","Estimate!!Total:!!Female householder, no spouse or partner present:!!Living alone","Margin of Error!!Total:!!Female householder, no spouse or partner present:!!Living alone","Estimate!!Total:!!Female householder, no spouse or partner present:!!With children of the householder under 18 years","Margin of Error!!Total:!!Female householder, no spouse or partner present:!!With children of the householder under 18 years","Estimate!!Total:!!Female householder, no spouse or partner present:!!With relatives, no children of the householder under 18 years","Margin of Error!!Total:!!Female householder, no spouse or partner present:!!With relatives, no children of the householder under 18 years","Estimate!!Total:!!Female householder, no spouse or partner present:!!With only nonrelatives present","Margin of Error!!Total:!!Female householder, no spouse or partner present:!!With only nonrelatives present","Estimate!!Total:!!Male householder, no spouse or partner present:","Margin of Error!!Total:!!Male householder, no spouse or partner present:","Estimate!!Total:!!Male householder, no spouse or partner present:!!Living alone","Margin of Error!!Total:!!Male householder, no spouse or partner present:!!Living alone","Estimate!!Total:!!Male householder, no spouse or partner present:!!With children of the householder under 18 years","Margin of Error!!Total:!!Male householder, no spouse or partner present:!!With children of the householder under 18 years","Estimate!!Total:!!Male householder, no spouse or partner present:!!With relatives, no children of the householder under 18 years","Margin of Error!!Total:!!Male householder, no spouse or partner present:!!With relatives, no children of the householder under 18 years","Estimate!!Total:!!Male householder, no spouse or partner present:!!With only nonrelatives present","Margin of Error!!Total:!!Male householder, no spouse or partner present:!!With only nonrelatives present",
"1500000US490011001001","Block Group 1; Census Tract 1001; Beaver County; Utah","273","107","265","106","182","91","83","54","0","12","0","12","0","12","8","15","8","15","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12",
"1500000US490011001002","Block Group 2; Census Tract 1001; Beaver County; Utah","499","134","345","125","161","103","184","99","0","12","0","12","0","12","81","55","81","55","0","12","0","12","0","12","73","67","24","42","33","42","16","25","0","12",
"1500000US490011001003","Block Group 3; Census Tract 1001; Beaver County; Utah","708","154","434","125","181","90","253","89","0","12","0","12","0","12","67","64","45","51","22","38","0","12","0","12","207","90","182","86","25","37","0","12","0","12",
"1500000US490011002001","Block Group 1; Census Tract 1002; Beaver County; Utah","244","70","204","68","82","48","122","58","0","12","0","12","0","12","21","23","13","19","8","13","0","12","0","12","19","21","19","21","0","12","0","12","0","12",
"1500000US490011002002","Block Group 2; Census Tract 1002; Beaver County; Utah","268","72","219","67","123","45","96","40","10","14","0","12","10","14","23","20","18","16","5","10","0","12","0","12","16","14","11","11","5","9","0","12","0","12",
"1500000US490011002003","Block Group 3; Census Tract 1002; Beaver County; Utah","394","103","246","80","126","61","120","50","45","49","10","16","35","46","40","30","31","26","0","12","9","14","0","12","63","33","30","16","6","10","19","24","8","10",
"1500000US490039601001","Block Group 1; Census Tract 9601; Box Elder County; Utah","328","70","277","73","159","61","118","43","12","11","0","12","12","11","23","20","14","18","0","12","2","3","7","11","16","17","16","17","0","12","0","12","0","12",
"1500000US490039601002","Block Group 2; Census Tract 9601; Box Elder County; Utah","531","85","398","71","181","53","217","56","19","15","13","13","6","8","58","27","40","21","7","7","10","13","1","2","56","30","20","13","21","19","15","21","0","12",
"1500000US490039601003","Block Group 3; Census Tract 9601; Box Elder County; Utah","257","98","179","86","84","61","95","65","0","12","0","12","0","12","12","12","11","12","0","12","1","2","0","12","66","55","30","31","0","12","36","49","0","12",
"1500000US490039602001","Block Group 1; Census Tract 9602; Box Elder County; Utah","608","126","436","132","125","62","311","129","51","64","7","8","44","63","58","48","24","23","4","6","30","42","0","12","63","69","8","10","50","69","5","6","0","12",
"1500000US490039602002","Block Group 2; Census Tract 9602; Box Elder County; Utah","254","69","167","56","91","46","76","49","0","12","0","12","0","12","30","23","14","20","16","24","0","12","0","12","57","52","0","12","26","42","31","32","0","12",
"1500000US490039602003","Block Group 3; Census Tract 9602; Box Elder County; Utah","598","79","369","69","231","59","138","52","55","39","22","22","33","30","120","62","58","50","37","39","19","19","6","8","54","28","31","22","12","13","11","10","0","12",
"1500000US490039602004","Block Group 4; Census Tract 9602; Box Elder County; Utah","395","73","284","64","130","55","154","37","9","15","0","12","9","15","30","25","26","26","0","12","2","4","2","3","72","38","32","29","10","16","30","22","0","12",
"1500000US490039602005","Block Group 5; Census Tract 9602; Box Elder County; Utah","224","75","180","73","106","48","74","49","2","4","0","12","2","4","24","21","14","16","8","13","2","5","0","12","18","20","15","20","3","5","0","12","0","12",
"1500000US490039602006","Block Group 6; Census Tract 9602; Box Elder County; Utah","376","107","181","71","128","80","53","31","35","47","35","47","0","12","144","74","129","79","9","10","6","9","0","12","16","15","5","9","0","12","5","9","6","9",
"1500000US490039603011","Block Group 1; Census Tract 9603.01; Box Elder County; Utah","367","95","289","84","161","61","128","48","3","5","0","12","3","5","39","31","13","11","7","12","0","12","19","27","36","25","28","23","0","12","8","10","0","12",
"1500000US490039603012","Block Group 2; Census Tract 9603.01; Box Elder County; Utah","505","126","355","129","199","94","156","107","15","25","0","12","15","25","56","87","56","87","0","12","0","12","0","12","79","74","79","74","0","12","0","12","0","12",
"1500000US490039603013","Block Group 3; Census Tract 9603.01; Box Elder County; Utah","313","147","93","51","45","33","48","38","40","56","0","12","40","56","78","61","78","61","0","12","0","12","0","12","102","127","0","12","102","127","0","12","0","12",
"1500000US490039603014","Block Group 4; Census Tract 9603.01; Box Elder County; Utah","373","103","303","102","153","76","150","90","12","18","0","12","12","18","45","45","25","30","20","31","0","12","0","12","13","23","13","23","0","12","0","12","0","12",
"1500000US490039603021","Block Group 1; Census Tract 9603.02; Box Elder County; Utah","801","247","391","157","255","156","136","79","111","105","73","86","38","60","95","89","83","96","12","20","0","12","0","12","204","172","204","172","0","12","0","12","0","12",
"1500000US490039603022","Block Group 2; Census Tract 9603.02; Box Elder County; Utah","386","133","244","99","135","67","109","75","10","17","0","12","10","17","117","97","64","77","0","12","53","61","0","12","15","24","15","24","0","12","0","12","0","12",
"1500000US490039603023","Block Group 3; Census Tract 9603.02; Box Elder County; Utah","515","161","219","117","108","85","111","79","0","12","0","12","0","12","119","90","105","87","0","12","14","24","0","12","177","104","78","88","0","12","99","90","0","12",
