"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"0400000US49","Utah","3045350","*****",
"1500000US490011001001","Block Group 1, Census Tract 1001, Beaver County, Utah","389","187",
"1500000US490011001002","Block Group 2, Census Tract 1001, Beaver County, Utah","1427","268",
"1500000US490011001003","Block Group 3, Census Tract 1001, Beaver County, Utah","1506","265",
"1500000US490011002001","Block Group 1, Census Tract 1002, Beaver County, Utah","840","221",
"1500000US490011002002","Block Group 2, Census Tract 1002, Beaver County, Utah","798","218",
"1500000US490011002003","Block Group 3, Census Tract 1002, Beaver County, Utah","1483","257",
"1500000US490039601001","Block Group 1, Census Tract 9601, Box Elder County, Utah","900","127",
"1500000US490039601002","Block Group 2, Census Tract 9601, Box Elder County, Utah","1664","226",
"1500000US490039601003","Block Group 3, Census Tract 9601, Box Elder County, Utah","425","152",
"1500000US490039602001","Block Group 1, Census Tract 9602, Box Elder County, Utah","1687","332",
"1500000US490039602002","Block Group 2, Census Tract 9602, Box Elder County, Utah","1223","340",
"1500000US490039602003","Block Group 3, Census Tract 9602, Box Elder County, Utah","1923","118",
"1500000US490039602004","Block Group 4, Census Tract 9602, Box Elder County, Utah","1767","382",
"1500000US490039602005","Block Group 5, Census Tract 9602, Box Elder County, Utah","833","248",
"1500000US490039602006","Block Group 6, Census Tract 9602, Box Elder County, Utah","514","111",
"1500000US490039603001","Block Group 1, Census Tract 9603, Box Elder County, Utah","1656","420",
"1500000US490039603002","Block Group 2, Census Tract 9603, Box Elder County, Utah","1353","443",
"1500000US490039603003","Block Group 3, Census Tract 9603, Box Elder County, Utah","859","333",
"1500000US490039603004","Block Group 4, Census Tract 9603, Box Elder County, Utah","1505","358",
"1500000US490039603005","Block Group 5, Census Tract 9603, Box Elder County, Utah","2600","641",
"1500000US490039603006","Block Group 6, Census Tract 9603, Box Elder County, Utah","837","383",
"1500000US490039604001","Block Group 1, Census Tract 9604, Box Elder County, Utah","1829","265",
"1500000US490039604002","Block Group 2, Census Tract 9604, Box Elder County, Utah","1549","222",
